log_timestamp,action_type,user_id,details
2025-12-14T10:50:24.732598,MEDIA_UPLOADED,Godrej,Uploaded 3 file(s) to listing 2025-12-14T10:49:24.930025
2025-12-14T10:51:00.325647,PROFILE_EDITED,Godrej,Edited profile for Pinnacle Gulmohar (TS: 2025-12-14T10:49:24.930025). Changes: 1
2025-12-14T10:51:59.654742,LISTING_CREATED,Godrej,New core listing created: Nyati
2025-12-14T10:52:34.798522,MEDIA_UPLOADED,Godrej,Uploaded 2 file(s) to listing 2025-12-14T10:51:59.652640
2025-12-14T10:53:20.306714,LISTING_CREATED,Godrej,New core listing created: Rohan Ishan
2025-12-14T10:54:08.187765,LISTING_CREATED,Godrej,New core listing created: Niche Crown
2025-12-14T10:54:53.162595,PROFILE_EDITED,Godrej,Edited profile for Niche Crown (TS: 2025-12-14T10:54:08.186757). Changes: 3
2025-12-14T10:55:26.494680,PROFILE_EDITED,Godrej,Edited profile for Niche Crown (TS: 2025-12-14T10:54:08.186757). Changes: 2
2025-12-14T10:58:39.558415,PROFILE_EDITED,Godrej,Edited profile for Niche Crown (TS: 2025-12-14T10:54:08.186757). Changes: 2
2025-12-14T10:59:23.602899,MEDIA_UPLOADED,Godrej,Uploaded 4 file(s) to listing 2025-12-14T10:54:08.186757
2025-12-14T11:00:03.490739,PROFILE_EDITED,Godrej,Edited profile for Rohan Ishan (TS: 2025-12-14T10:53:20.304710). Changes: 1
2025-12-14T11:00:57.531374,PROFILE_EDITED,Godrej,Edited profile for Rohan Ishan (TS: 2025-12-14T10:53:20.304710). Changes: 6
2025-12-14T11:01:23.102518,MEDIA_UPLOADED,Godrej,Uploaded 5 file(s) to listing 2025-12-14T10:53:20.304710
2025-12-14T11:12:09.195779,PROFILE_EDITED,Godrej,Edited profile for Nyati (TS: 2025-12-14T10:51:59.652640). Changes: 9
2025-12-14T11:13:09.484492,PROFILE_EDITED,Godrej,Edited profile for Nyati (TS: 2025-12-14T10:51:59.652640). Changes: 7
2025-12-14T11:14:15.208493,PROFILE_EDITED,Godrej,Edited profile for Rohan Ishan (TS: 2025-12-14T10:53:20.304710). Changes: 1
2025-12-14T12:04:58.840764,LISTING_DELETED,Shapoorji,Soft-deleted listing: Nyati (TS: 2025-12-06T13:35:03.533613)
